"RESULT"
"STATUS","0"
"ERROR_MSG","正常に終了しました。"
"DATE","2021-09-30T10:27:15.228+09:00"
"RESULT_INF"
"TOTAL_NUMBER","890346"
"FROM_NUMBER","700001"
"TO_NUMBER","800000"
"NEXT_KEY","800001"
"TABLE_INF","0002060007"
"STAT_NAME","00200531","労働力調査"
"GOV_ORG","00200","総務省"
"STATISTICS_NAME","労働力調査 基本集計　全都道府県 全国 月次"
"TITLE","1-4-2","農林業・非農林業，従業上の地位，配偶関係，年齢階級別就業者数（1985年1月～（2005年12月以前は女性のみ））"
"CYCLE","月次"
"SURVEY_DATE","0"
"OPEN_DATE","2021-08-31"
"SMALL_AREA","0"
"COLLECT_AREA","全国"
"MAIN_CATEGORY","03","労働・賃金"
"SUB_CATEGORY","01","労働力"
"OVERALL_TOTAL_NUMBER","890346"
"UPDATED_DATE","2021-09-29"
"STATISTICS_NAME_SPEC","労働力調査","基本集計　全都道府県","全国","月次","",""
"DESCRIPTION","","労働力調査では結果を算出するための基礎となる人口（ベンチマーク人口）として推計人口を用いています。<br />1982年から5年ごとに算出の基礎となるベンチマーク人口の基準を切り替えており，それぞれ切替えに伴う変動があります。<br />長期時系列表や速報では，2005年10月から2016年12月までの期間を含む数値を，基準切替え後のベンチマーク人口に基づいて遡及又は補正した時系列接続用数値に置き換えて掲載しています。<br />結果原表及びデータベース収録の数値は，公表当時の数値です。<br />このため，当該期間は，長期時系列表の数値とデータベースの数値とで異なる場合があります。","","","",""
"TITLE_SPEC","","農林業・非農林業，従業上の地位，配偶関係，年齢階級別就業者数（1985年1月～（2005年12月以前は女性のみ））","","","",""
"NOTE","*","分母が小さいため比率を計算していない。"
"NOTE","***","該当数値がないもの　又は　集計していないもの(2002年２月以降)。　なお，2002年１月以前については http://www.stat.go.jp/data/roudou/chuui.htm 参照"
"NOTE","0","数値が表章単位に満たないもの(2002年２月以降)。　なお，2002年１月以前については http://www.stat.go.jp/data/roudou/chuui.htm 参照"
"NOTE","…","東日本大震災の影響により，岩手県，宮城県及び福島県において，調査の実施が困難となりました。このため，平成23年3月分から8月分までの期間を含む全国及び東北地域の結果については掲載していません。"
"VALUE"
"tab_code","表章項目","cat01_code","産業","cat02_code","性別","cat03_code","従業上の地位","cat04_code","年齢階級","cat05_code","配偶関係","area_code","地域","time_code","時間軸（月次）","unit","value","annotation"
"01","実数(人口)","004","非農林業","2","女","00","総数","02","15～19歳","02","有配偶","00000","全国","1986001010","1986年10月","万人","1",""
"01","実数(人口)","004","非農林業","2","女","00","総数","02","15～19歳","02","有配偶","00000","全国","1986001111","1986年11月","万人","1",""
"01","実数(人口)","004","非農林業","2","女","00","総数","02","15～19歳","02","有配偶","00000","全国","1986001212","1986年12月","万人","1",""
"01","実数(人口)","004","非農林業","2","女","00","総数","02","15～19歳","02","有配偶","00000","全国","1987000101","1987年1月","万人","1",""
"01","実数(人口)","004","非農林業","2","女","00","総数","02","15～19歳","02","有配偶","00000","全国","1987000202","1987年2月","万人","1",""
"01","実数(人口)","004","非農林業","2","女","00","総数","02","15～19歳","02","有配偶","00000","全国","1987000303","1987年3月","万人","0",""
"01","実数(人口)","004","非農林業","2","女","00","総数","02","15～19歳","02","有配偶","00000","全国","1987000404","1987年4月","万人","0",""
"01","実数(人口)","004","非農林業","2","女","00","総数","02","15～19歳","02","有配偶","00000","全国","1987000505","1987年5月","万人","1",""
"01","実数(人口)","004","非農林業","2","女","00","総数","02","15～19歳","02","有配偶","00000","全国","1987000606","1987年6月","万人","1",""
"01","実数(人口)","004","非農林業","2","女","00","総数","02","15～19歳","02","有配偶","00000","全国","1987000707","1987年7月","万人","1",""
"01","実数(人口)","004","非農林業","2","女","00","総数","02","15～19歳","02","有配偶","00000","全国","1987000808","1987年8月","万人","1",""
"01","実数(人口)","004","非農林業","2","女","00","総数","02","15～19歳","02","有配偶","00000","全国","1987000909","1987年9月","万人","1",""
"01","実数(人口)","004","非農林業","2","女","00","総数","02","15～19歳","02","有配偶","00000","全国","1987001010","1987年10月","万人","1",""
"01","実数(人口)","004","非農林業","2","女","00","総数","02","15～19歳","02","有配偶","00000","全国","1987001111","1987年11月","万人","1",""
"01","実数(人口)","004","非農林業","2","女","00","総数","02","15～19歳","02","有配偶","00000","全国","1987001212","1987年12月","万人","1",""
"01","実数(人口)","004","非農林業","2","女","00","総数","02","15～19歳","02","有配偶","00000","全国","1988000101","1988年1月","万人","1",""
"01","実数(人口)","004","非農林業","2","女","00","総数","02","15～19歳","02","有配偶","00000","全国","1988000202","1988年2月","万人","0",""
"01","実数(人口)","004","非農林業","2","女","00","総数","02","15～19歳","02","有配偶","00000","全国","1988000303","1988年3月","万人","1",""
