LOCATION	Country	SUBJECT	Subject	MEASURE	Measure	TIME	Time	Unit Code	Unit	PowerCode Code	PowerCode	Reference Period Code	Reference Period	Value	Flag Codes	Flags
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	2016	2016	NATCUR	National currency	6	Millions			1759314		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	2017	2017	NATCUR	National currency	6	Millions			1842946		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	2018	2018	NATCUR	National currency	6	Millions			1946228		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	2019	2019	NATCUR	National currency	6	Millions			1980866		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	2020	2020	NATCUR	National currency	6	Millions			2067010		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	2021	2021	NATCUR	National currency	6	Millions			2282636		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	1970	1970	NATCUR	National currency	0	Units			3188.620748		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	1971	1971	NATCUR	National currency	0	Units			3375.868857		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	1972	1972	NATCUR	National currency	0	Units			3716.155548		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	1973	1973	NATCUR	National currency	0	Units			4434.58752		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	1974	1974	NATCUR	National currency	0	Units			5153.059092		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	1975	1975	NATCUR	National currency	0	Units			5968.767291		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	1976	1976	NATCUR	National currency	0	Units			6820.359335		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	1977	1977	NATCUR	National currency	0	Units			7358.733828		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	1978	1978	NATCUR	National currency	0	Units			8231.612457		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	1979	1979	NATCUR	National currency	0	Units			9221.309721		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	1980	1980	NATCUR	National currency	0	Units			10292.847413		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	1981	1981	NATCUR	National currency	0	Units			11788.076364		
AUS	Australia	T_GDPPOP	GDP per head of population	C	National currency, current prices	1982	1982	NATCUR	National currency	0	Units			12478.826675		
