downloaded from https://www.stat.go.jp/data/roudou/longtime/zuhyou/lt01-a10.xlsx 2011年3月から8月までの期間は，東日本大震災の影響により全国集計結果が存在しないため，補完推計値（2015年国勢調査基準）を用いた（< >内の数値）。
				労働力人口			就業者			雇用者			完全失業者			非労働力人口			完全失業率（％）		
year	month	Mon	star	Labour force			Employed person			Employee			Unemployed person			Not in labour force			Unemployment rate  (percent)		
				男女計	男	女	男女計	男	女	男女計	男	女	男女計	男	女	男女計	男	女	男女計	男	女
				Both sexes	Male	Female	Both sexes	Male	Female	Both sexes	Male	Female	Both sexes	Male	Female	Both sexes	Male	Female	Both sexes	Male	Female
	5月	May	*	4879 	2947 	1933 	4812 	2908 	1905 	2977 	2027 	950 	69 	40 	29 	2536 	645 	1890 	1.4 	1.3 	1.5 
	6月	June	*	4889 	2945 	1944 	4827 	2911 	1917 	3007 	2037 	971 	62 	34 	28 	2538 	655 	1884 	1.3 	1.1 	1.4 
	7月	July	*	4903 	2942 	1960 	4844 	2910 	1935 	3003 	2029 	974 	58 	33 	26 	2535 	663 	1873 	1.2 	1.1 	1.3 
	8月	Aug.	*	4897 	2942 	1955 	4834 	2906 	1928 	3000 	2034 	966 	63 	36 	27 	2550 	669 	1883 	1.3 	1.3 	1.4 
	9月	Sept.	*	4894 	2944 	1950 	4828 	2905 	1922 	2996 	2031 	964 	67 	39 	29 	2563 	671 	1893 	1.4 	1.3 	1.5 
	10月	Oct.	*	4928 	2961 	1968 	4864 	2924 	1940 	3024 	2038 	986 	65 	37 	28 	2537 	658 	1880 	1.3 	1.2 	1.4 
	11月	Nov.	*	4903 	2950 	1954 	4840 	2914 	1926 	3017 	2035 	982 	64 	36 	28 	2571 	673 	1899 	1.3 	1.2 	1.5 
	12月	Dec.	*	4915 	2952 	1963 	4854 	2916 	1939 	3034 	2042 	992 	61 	36 	24 	2568 	674 	1894 	1.2 	1.2 	1.3 
昭和42年	1月	Jan.	*	4908 	2946 	1962 	4848 	2910 	1939 	3034 	2046 	988 	61 	36 	25 	2584 	683 	1900 	1.2 	1.2 	1.3 
1967	2月	Feb.	*	4928 	2969 	1958 	4871 	2933 	1937 	3041 	2058 	983 	56 	36 	20 	2574 	667 	1906 	1.1 	1.2 	1.0 
	3月	Mar.	*	4977 	2976 	2002 	4891 	2934 	1957 	3048 	2053 	996 	78 	39 	37 	2539 	667 	1872 	1.6 	1.3 	1.9 
	4月	Apr.	*	4957 	2974 	1981 	4893 	2941 	1952 	3042 	2045 	996 	62 	34 	28 	2572 	677 	1896 	1.3 	1.1 	1.4 
	5月	May	*	4993 	2991 	2001 	4933 	2958 	1975 	3074 	2062 	1011 	59 	33 	26 	2544 	665 	1879 	1.2 	1.1 	1.3 
	6月	June	*	5027 	2994 	2032 	4963 	2959 	2003 	3073 	2058 	1014 	64 	34 	29 	2517 	667 	1850 	1.3 	1.2 	1.4 
	7月	July	*	5020 	3014 	2006 	4959 	2980 	1978 	3088 	2084 	1004 	60 	32 	28 	2534 	650 	1884 	1.2 	1.1 	1.4 
	8月	Aug.	*	4987 	3012 	1976 	4928 	2980 	1948 	3076 	2079 	997 	60 	31 	28 	2581 	658 	1923 	1.2 	1.0 	1.4 
	9月	Sept.	*	4978 	3002 	1976 	4922 	2973 	1950 	3061 	2065 	997 	56 	29 	27 	2598 	673 	1925 	1.1 	1.0 	1.4 
	10月	Oct.	*	4967 	2990 	1976 	4906 	2956 	1951 	3084 	2073 	1011 	60 	34 	25 	2622 	689 	1933 	1.2 	1.2 	1.3 
	11月	Nov.	*	5029 	3019 	2010 	4964 	2980 	1984 	3132 	2102 	1030 	67 	40 	27 	2569 	666 	1903 	1.3 	1.3 	1.4 
	12月	Dec.	*	5028 	3023 	2006 	4965 	2985 	1981 	3116 	2090 	1026 	64 	38 	26 	2587 	668 	1919 	1.3 	1.3 	1.3 
昭和43年	1月	Jan.	*	5039 	3037 	2002 	4975 	2997 	1979 	3119 	2090 	1029 	64 	40 	24 	2580 	658 	1923 	1.3 	1.3 	1.2 
1968	2月	Feb.	*	5010 	3029 	1981 	4944 	2991 	1953 	3105 	2090 	1016 	65 	38 	28 	2617 	670 	1947 	1.3 	1.3 	1.4 
	3月	Mar.	*	5021 	3039 	1982 	4965 	3003 	1962 	3107 	2100 	1007 	58 	36 	22 	2616 	664 	1952 	1.2 	1.2 	1.1 
	4月	Apr.	*	5053 	3046 	2007 	4991 	3007 	1984 	3164 	2125 	1038 	61 	38 	23 	2594 	663 	1932 	1.2 	1.3 	1.2 
	5月	May	*	5057 	3041 	2015 	4997 	3007 	1990 	3157 	2113 	1044 	58 	34 	24 	2597 	671 	1927 	1.2 	1.1 	1.2 
	6月	June	*	5054 	3058 	1997 	4997 	3022 	1976 	3143 	2109 	1034 	56 	36 	21 	2611 	659 	1953 	1.1 	1.2 	1.1 
	7月	July	*	5056 	3059 	1998 	4993 	3021 	1972 	3151 	2112 	1039 	63 	39 	24 	2620 	663 	1957 	1.3 	1.3 	1.2 
	8月	Aug.	*	5093 	3067 	2025 	5031 	3028 	2002 	3165 	2116 	1050 	62 	38 	23 	2589 	659 	1930 	1.2 	1.3 	1.1 
	9月	Sept.	*	5080 	3074 	2005 	5021 	3035 	1986 	3166 	2130 	1037 	58 	39 	19 	2610 	655 	1956 	1.1 	1.3 	1.0 
	10月	Oct.	*	5090 	3091 	2000 	5035 	3056 	1980 	3183 	2148 	1034 	55 	34 	20 	2609 	645 	1966 	1.1 	1.1 	1.0 
	11月	Nov.	*	5106 	3088 	2018 	5052 	3054 	1999 	3165 	2134 	1031 	53 	34 	19 	2605 	652 	1953 	1.0 	1.1 	0.9 
	12月	Dec.	*	5082 	3074 	2008 	5027 	3040 	1987 	3157 	2134 	1023 	55 	34 	21 	2635 	670 	1966 	1.1 	1.1 	1.0 
昭和44年	1月	Jan.	*	5072 	3077 	1996 	5017 	3044 	1973 	3162 	2143 	1020 	57 	34 	23 	2654 	671 	1983 	1.1 	1.1 	1.1 
1969	2月	Feb.	*	5075 	3071 	2004 	5017 	3034 	1983 	3168 	2138 	1029 	59 	37 	22 	2659 	680 	1981 	1.2 	1.2 	1.1 
	3月	Mar.	*	5070 	3071 	2000 	5018 	3035 	1984 	3165 	2134 	1031 	55 	36 	19 	2675 	686 	1990 	1.1 	1.2 	1.0 
	4月	Apr.	*	5091 	3081 	2010 	5034 	3046 	1988 	3185 	2147 	1038 	57 	36 	22 	2661 	678 	1984 	1.1 	1.2 	1.1 
	5月	May	*	5100 	3089 	2011 	5038 	3050 	1988 	3211 	2156 	1055 	62 	41 	23 	2660 	673 	1986 	1.2 	1.3 	1.1 
	6月	June	*	5091 	3093 	1999 	5027 	3051 	1975 	3191 	2143 	1048 	65 	42 	24 	2677 	673 	2004 	1.3 	1.4 	1.2 
	7月	July	*	5087 	3089 	1998 	5025 	3050 	1976 	3194 	2140 	1055 	61 	39 	22 	2688 	682 	2006 	1.2 	1.3 	1.1 
	8月	Aug.	*	5111 	3095 	2015 	5054 	3060 	1994 	3222 	2157 	1066 	56 	36 	20 	2673 	679 	1994 	1.1 	1.2 	1.0 
	9月	Sept.	*	5142 	3107 	2035 	5085 	3073 	2012 	3225 	2157 	1068 	57 	34 	23 	2650 	673 	1976 	1.1 	1.1 	1.1 
	10月	Oct.	*	5121 	3105 	2015 	5066 	3073 	1993 	3212 	2161 	1051 	55 	32 	23 	2678 	679 	1999 	1.1 	1.0 	1.1 
	11月	Nov.	*	5104 	3099 	2005 	5051 	3067 	1984 	3219 	2162 	1057 	53 	32 	21 	2703 	687 	2015 	1.0 	1.0 	1.0 
	12月	Dec.	*	5121 	3116 	2004 	5065 	3083 	1982 	3234 	2170 	1063 	55 	33 	22 	2700 	679 	2021 	1.1 	1.1 	1.1 
昭和45年	1月	Jan.	*	5123 	3119 	2003 	5067 	3087 	1981 	3249 	2184 	1065 	56 	33 	22 	2707 	680 	2028 	1.1 	1.1 	1.1 
1970	2月	Feb.	*	5133 	3108 	2025 	5077 	3073 	2006 	3271 	2183 	1089 	56 	36 	20 	2708 	693 	2015 	1.1 	1.2 	1.0 
	3月	Mar.	*	5138 	3125 	2012 	5090 	3092 	1998 	3295 	2203 	1093 	51 	35 	17 	2714 	684 	2030 	1.0 	1.1 	0.9 
	4月	Apr.	*	5156 	3127 	2030 	5097 	3089 	2009 	3271 	2190 	1082 	60 	38 	21 	2703 	685 	2018 	1.2 	1.2 	1.0 
	5月	May	*	5145 	3115 	2030 	5089 	3079 	2009 	3270 	2189 	1081 	56 	36 	21 	2724 	703 	2022 	1.1 	1.1 	1.0 
	6月	June	*	5154 	3119 	2033 	5098 	3085 	2013 	3277 	2194 	1083 	55 	35 	20 	2724 	702 	2022 	1.1 	1.1 	1.0 
	7月	July	*	5171 	3131 	2039 	5110 	3092 	2018 	3279 	2194 	1084 	60 	39 	21 	2702 	688 	2015 	1.2 	1.2 	1.0 
	8月	Aug.	*	5158 	3134 	2024 	5096 	3095 	2002 	3306 	2212 	1095 	61 	40 	22 	2727 	690 	2037 	1.2 	1.3 	1.1 
	9月	Sept.	*	5187 	3142 	2045 	5121 	3100 	2020 	3339 	2226 	1113 	66 	42 	24 	2710 	689 	2019 	1.3 	1.3 	1.2 
	10月	Oct.	*	5167 	3142 	2024 	5098 	3097 	2001 	3325 	2217 	1108 	69 	46 	23 	2737 	694 	2042 	1.3 	1.5 	1.1 
	11月	Nov.	*	5148 	3146 	2001 	5083 	3106 	1976 	3383 	2261 	1122 	65 	40 	25 	2765 	694 	2071 	1.3 	1.3 	1.3 
	12月	Dec.	*	5173 	3151 	2022 	5111 	3112 	1999 	3408 	2271 	1138 	61 	39 	22 	2741 	686 	2054 	1.2 	1.2 	1.1 
昭和46年	1月	Jan.	*	5172 	3162 	2009 	5115 	3124 	1991 	3398 	2269 	1129 	58 	40 	19 	2746 	679 	2067 	1.1 	1.3 	1.0 
1971	2月	Feb.	*	5172 	3172 	2000 	5113 	3134 	1976 	3394 	2281 	1114 	61 	38 	23 	2755 	674 	2081 	1.2 	1.2 	1.2 
	3月	Mar.	*	5218 	3177 	2041 	5156 	3139 	2016 	3421 	2290 	1131 	63 	38 	24 	2724 	673 	2051 	1.2 	1.2 	1.2 
	4月	Apr.	*	5194 	3178 	2017 	5130 	3138 	1993 	3403 	2280 	1123 	63 	40 	24 	2758 	678 	2080 	1.2 	1.3 	1.2 
	5月	May	*	5188 	3188 	2001 	5125 	3148 	1979 	3367 	2272 	1094 	63 	41 	23 	2772 	671 	2101 	1.2 	1.3 	1.1 
	6月	June	*	5191 	3182 	2010 	5128 	3140 	1988 	3387 	2285 	1101 	63 	41 	22 	2781 	684 	2096 	1.2 	1.3 	1.1 
	7月	July	*	5188 	3175 	2012 	5124 	3135 	1989 	3401 	2292 	1108 	64 	41 	23 	2783 	690 	2092 	1.2 	1.3 	1.2 
	8月	Aug.	*	5191 	3179 	2012 	5124 	3136 	1988 	3412 	2293 	1118 	67 	42 	24 	2786 	691 	2095 	1.3 	1.3 	1.2 
	9月	Sept.	*	5163 	3177 	1984 	5101 	3139 	1963 	3442 	2317 	1124 	60 	38 	22 	2824 	696 	2129 	1.2 	1.2 	1.1 
	10月	Oct.	*	5164 	3181 	1984 	5096 	3138 	1959 	3447 	2326 	1121 	66 	41 	26 	2830 	700 	2130 	1.3 	1.3 	1.3 
	11月	Nov.	*	5202 	3201 	2001 	5133 	3156 	1977 	3428 	2313 	1115 	70 	45 	24 	2798 	684 	2115 	1.3 	1.4 	1.2 
	12月	Dec.	*	5195 	3210 	1985 	5124 	3161 	1962 	3440 	2326 	1113 	72 	49 	23 	2812 	679 	2134 	1.4 	1.5 	1.2 
昭和47年	1月	Jan.	*	5205 	3204 	1999 	5128 	3152 	1974 	3469 	2336 	1133 	75 	50 	25 	2812 	688 	2124 	1.4 	1.6 	1.2 
1972	2月	Feb.	*	5189 	3213 	1974 	5115 	3164 	1951 	3465 	2340 	1125 	71 	48 	23 	2830 	684 	2147 	1.4 	1.5 	1.2 
	3月	Mar.	*	5172 	3206 	1967 	5097 	3157 	1940 	3425 	2325 	1100 	74 	48 	26 	2853 	692 	2160 	1.4 	1.5 	1.3 
	4月	Apr.	*	5175 	3213 	1963 	5103 	3166 	1936 	3435 	2340 	1094 	72 	46 	27 	2860 	689 	2170 	1.4 	1.4 	1.4 
	5月	May	*	5187 	3211 	1977 	5116 	3164 	1951 	3437 	2331 	1105 	72 	46 	26 	2860 	697 	2163 	1.4 	1.4 	1.3 
	6月	June	*	5173 	3223 	1951 	5103 	3178 	1926 	3462 	2364 	1098 	70 	45 	25 	2883 	689 	2193 	1.4 	1.4 	1.3 
※注_Notes	7月	July		5226 	3246 	1981 	5153 	3198 	1955 	3512 	2391 	1121 	73 	47 	26 	2889 	694 	2195 	1.4 	1.5 	1.3 
	8月	Aug.		5245 	3247 	1999 	5171 	3196 	1974 	3483 	2362 	1120 	73 	50 	24 	2879 	699 	2180 	1.4 	1.5 	1.2 
	9月	Sept.		5242 	3252 	1991 	5162 	3197 	1964 	3469 	2352 	1118 	81 	54 	26 	2890 	698 	2193 	1.5 	1.7 	1.3 
	10月	Oct.		5253 	3243 	2010 	5181 	3195 	1985 	3512 	2365 	1147 	72 	48 	24 	2894 	703 	2190 	1.4 	1.5 	1.2 
	11月	Nov.		5250 	3232 	2018 	5177 	3184 	1992 	3504 	2355 	1148 	73 	47 	25 	2905 	718 	2186 	1.4 	1.5 	1.3 
	12月	Dec.		5300 	3243 	2057 	5227 	3197 	2030 	3529 	2357 	1172 	73 	46 	26 	2866 	713 	2153 	1.4 	1.4 	1.3 
昭和48年	1月	Jan.		5337 	3260 	2080 	5268 	3216 	2053 	3564 	2372 	1192 	71 	44 	27 	2843 	703 	2141 	1.3 	1.4 	1.3 
1973	2月	Feb.		5347 	3268 	2080 	5282 	3226 	2057 	3569 	2386 	1182 	66 	43 	24 	2844 	698 	2145 	1.2 	1.3 	1.2 
	3月	Mar.		5308 	3258 	2051 	5244 	3214 	2031 	3574 	2393 	1181 	65 	43 	22 	2890 	715 	2175 	1.2 	1.3 	1.1 
	4月	Apr.		5294 	3266 	2028 	5224 	3220 	2004 	3586 	2413 	1173 	70 	46 	24 	2909 	709 	2201 	1.3 	1.4 	1.2 
	5月	May		5281 	3275 	2006 	5208 	3228 	1980 	3618 	2447 	1171 	72 	47 	24 	2931 	704 	2227 	1.4 	1.4 	1.2 
	6月	June		5322 	3277 	2045 	5249 	3228 	2020 	3645 	2439 	1207 	74 	48 	25 	2897 	706 	2191 	1.4 	1.5 	1.2 
	7月	July		5326 	3286 	2041 	5256 	3239 	2015 	3634 	2440 	1196 	70 	45 	25 	2890 	696 	2193 	1.3 	1.4 	1.2 
	8月	Aug.		5303 	3284 	2019 	5239 	3244 	1994 	3638 	2460 	1179 	64 	40 	24 	2922 	702 	2220 	1.2 	1.2 	1.2 
	9月	Sept.		5330 	3284 	2046 	5262 	3242 	2019 	3639 	2447 	1193 	67 	41 	25 	2904 	706 	2199 	1.3 	1.3 	1.2 
	10月	Oct.		5388 	3298 	2090 	5327 	3260 	2065 	3643 	2441 	1201 	60 	37 	24 	2849 	699 	2151 	1.1 	1.1 	1.1 
	11月	Nov.		5373 	3299 	2075 	5308 	3255 	2052 	3641 	2445 	1197 	64 	43 	21 	2880 	705 	2174 	1.2 	1.3 	1.0 
	12月	Dec.		5300 	3284 	2018 	5238 	3243 	1995 	3617 	2447 	1171 	60 	40 	22 	2962 	725 	2238 	1.1 	1.2 	1.1 
昭和49年	1月	Jan.		5302 	3291 	2011 	5240 	3252 	1988 	3593 	2444 	1149 	66 	41 	23 	2971 	723 	2248 	1.2 	1.3 	1.2 
1974	2月	Feb.		5325 	3297 	2028 	5256 	3252 	2004 	3612 	2445 	1168 	71 	46 	25 	2966 	726 	2241 	1.3 	1.4 	1.2 
	3月	Mar.		5327 	3317 	2010 	5255 	3270 	1985 	3633 	2464 	1169 	73 	47 	27 	2970 	709 	2260 	1.4 	1.4 	1.3 
	4月	Apr.		5338 	3314 	2025 	5272 	3269 	2001 	3649 	2465 	1185 	67 	43 	23 	2967 	715 	2251 	1.3 	1.3 	1.2 
	5月	May		5323 	3309 	2014 	5256 	3264 	1992 	3680 	2479 	1202 	67 	45 	22 	2989 	724 	2265 	1.3 	1.4 	1.1 
	6月	June		5312 	3316 	1998 	5244 	3272 	1972 	3660 	2483 	1177 	67 	43 	24 	3011 	721 	2290 	1.3 	1.3 	1.2 
	7月	July		5276 	3302 	1975 	5206 	3258 	1949 	3616 	2458 	1159 	68 	42 	26 	3043 	735 	2309 	1.3 	1.3 	1.3 
	8月	Aug.		5302 	3314 	1989 	5223 	3262 	1960 	3631 	2463 	1168 	79 	50 	29 	3027 	728 	2300 	1.5 	1.5 	1.5 
	9月	Sept.		5306 	3315 	1993 	5233 	3266 	1966 	3650 	2477 	1173 	73 	48 	25 	3024 	727 	2296 	1.4 	1.4 	1.3 
	10月	Oct.		5309 	3323 	1988 	5226 	3269 	1957 	3657 	2479 	1178 	83 	53 	29 	3029 	725 	2304 	1.6 	1.6 	1.5 
	11月	Nov.		5303 	3318 	1986 	5222 	3266 	1955 	3648 	2469 	1179 	80 	50 	30 	3043 	734 	2309 	1.5 	1.5 	1.5 
	12月	Dec.		5296 	3314 	1982 	5206 	3257 	1946 	3618 	2463 	1153 	91 	56 	35 	3057 	743 	2314 	1.7 	1.7 	1.8 
昭和50年	1月	Jan.		5284 	3316 	1967 	5194 	3260 	1931 	3622 	2473 	1149 	89 	56 	34 	3083 	749 	2334 	1.7 	1.7 	1.7 
1975	2月	Feb.		5290 	3316 	1974 	5196 	3254 	1939 	3621 	2464 	1158 	93 	60 	33 	3088 	754 	2334 	1.8 	1.8 	1.7 
	3月	Mar.		5291 	3314 	1977 	5196 	3252 	1942 	3623 	2464 	1160 	93 	61 	33 	3092 	758 	2335 	1.8 	1.8 	1.6 
	4月	Apr.		5286 	3318 	1968 	5189 	3255 	1934 	3614 	2463 	1151 	96 	63 	34 	3113 	761 	2352 	1.8 	1.9 	1.7 
	5月	May		5330 	3328 	2003 	5236 	3268 	1968 	3625 	2465 	1159 	95 	60 	35 	3075 	754 	2321 	1.8 	1.8 	1.8 
	6月	June		5334 	3320 	2013 	5237 	3256 	1981 	3646 	2468 	1178 	98 	66 	33 	3085 	769 	2316 	1.8 	2.0 	1.6 
	7月	July		5338 	3332 	2006 	5241 	3269 	1973 	3666 	2482 	1184 	98 	64 	33 	3085 	760 	2326 	1.8 	1.9 	1.7 
	8月	Aug.		5339 	3336 	2003 	5240 	3271 	1968 	3656 	2476 	1180 	99 	65 	34 	3090 	759 	2330 	1.9 	2.0 	1.7 
	9月	Sept.		5339 	3347 	1992 	5234 	3276 	1958 	3653 	2484 	1170 	105 	72 	33 	3103 	753 	2350 	2.0 	2.1 	1.7 
	10月	Oct.		5333 	3357 	1977 	5222 	3282 	1941 	3662 	2490 	1172 	112 	77 	36 	3123 	751 	2372 	2.1 	2.3 	1.8 
	11月	Nov.		5340 	3363 	1977 	5231 	3291 	1940 	3676 	2503 	1173 	110 	74 	37 	3119 	747 	2372 	2.1 	2.2 	1.9 
	12月	Dec.		5373 	3385 	1987 	5260 	3306 	1954 	3702 	2522 	1181 	114 	80 	34 	3096 	732 	2364 	2.1 	2.4 	1.7 
昭和51年	1月	Jan.		5374 	3377 	1995 	5257 	3294 	1962 	3690 	2503 	1188 	113 	80 	33 	3104 	747 	2358 	2.1 	2.4 	1.6 
1976	2月	Feb.		5371 	3372 	1997 	5260 	3299 	1959 	3704 	2509 	1193 	109 	72 	37 	3108 	752 	2356 	2.0 	2.1 	1.9 
	3月	Mar.		5385 	3367 	2017 	5278 	3293 	1985 	3731 	2516 	1216 	105 	73 	32 	3102 	759 	2343 	2.0 	2.2 	1.6 
	4月	Apr.		5366 	3361 	2005 	5255 	3284 	1971 	3711 	2504 	1206 	111 	77 	34 	3133 	771 	2361 	2.1 	2.3 	1.7 
	5月	May		5345 	3357 	1987 	5236 	3281 	1954 	3693 	2498 	1196 	110 	77 	34 	3162 	777 	2386 	2.1 	2.3 	1.7 
	6月	June		5347 	3363 	1985 	5240 	3290 	1951 	3700 	2508 	1192 	108 	73 	34 	3171 	777 	2394 	2.0 	2.2 	1.8 
	7月	July		5375 	3362 	2014 	5268 	3287 	1981 	3714 	2508 	1206 	109 	75 	33 	3144 	779 	2365 	2.0 	2.2 	1.7 
	8月	Aug.		5395 	3367 	2028 	5288 	3295 	1993 	3731 	2510 	1221 	107 	73 	34 	3134 	777 	2356 	2.0 	2.2 	1.7 
	9月	Sept.		5396 	3370 	2027 	5291 	3299 	1992 	3723 	2510 	1213 	106 	71 	35 	3145 	783 	2362 	2.0 	2.1 	1.7 
	10月	Oct.		5387 	3370 	2017 	5281 	3297 	1985 	3688 	2498 	1190 	107 	75 	32 	3157 	783 	2374 	2.0 	2.2 	1.6 
	11月	Nov.		5392 	3375 	2016 	5285 	3303 	1984 	3720 	2521 	1199 	106 	73 	32 	3158 	781 	2378 	2.0 	2.2 	1.6 
	12月	Dec.		5408 	3374 	2034 	5310 	3309 	2001 	3738 	2521 	1218 	98 	65 	33 	3151 	788 	2364 	1.8 	1.9 	1.6 
昭和52年	1月	Jan.		5420 	3378 	2041 	5315 	3307 	2008 	3752 	2518 	1235 	104 	70 	33 	3148 	788 	2360 	1.9 	2.1 	1.6 
1977	2月	Feb.		5415 	3374 	2040 	5306 	3300 	2006 	3767 	2525 	1242 	108 	74 	34 	3157 	793 	2364 	2.0 	2.2 	1.7 
	3月	Mar.		5423 	3379 	2042 	5315 	3309 	2005 	3777 	2536 	1241 	108 	71 	37 	3159 	792 	2366 	2.0 	2.1 	1.8 
	4月	Apr.		5448 	3372 	2075 	5345 	3302 	2042 	3799 	2527 	1271 	104 	69 	33 	3138 	803 	2336 	1.9 	2.1 	1.6 
	5月	May		5442 	3370 	2072 	5329 	3296 	2033 	3778 	2513 	1265 	112 	73 	39 	3158 	813 	2345 	2.1 	2.2 	1.9 
	6月	June		5442 	3376 	2066 	5328 	3301 	2026 	3739 	2493 	1245 	115 	75 	40 	3160 	807 	2354 	2.1 	2.2 	1.9 
	7月	July		5465 	3382 	2082 	5352 	3307 	2045 	3747 	2499 	1248 	113 	76 	38 	3146 	804 	2342 	2.1 	2.3 	1.8 
	8月	Aug.		5461 	3389 	2072 	5352 	3318 	2035 	3758 	2523 	1235 	109 	71 	38 	3160 	803 	2357 	2.0 	2.1 	1.8 
	9月	Sept.		5471 	3391 	2079 	5361 	3319 	2042 	3767 	2520 	1248 	110 	72 	39 	3160 	806 	2354 	2.0 	2.1 	1.9 
	10月	Oct.		5456 	3381 	2075 	5350 	3314 	2036 	3770 	2520 	1251 	106 	67 	39 	3183 	819 	2364 	1.9 	2.0 	1.9 
	11月	Nov.		5481 	3390 	2091 	5371 	3321 	2050 	3776 	2523 	1254 	111 	69 	42 	3164 	813 	2350 	2.0 	2.0 	2.0 
	12月	Dec.		5498 	3393 	2106 	5380 	3317 	2064 	3792 	2512 	1280 	117 	76 	42 	3152 	813 	2340 	2.1 	2.2 	2.0 
昭和53年	1月	Jan.		5478 	3389 	2090 	5361 	3312 	2049 	3785 	2515 	1270 	118 	76 	41 	3173 	814 	2360 	2.1 	2.2 	2.0 
1978	2月	Feb.		5510 	3404 	2107 	5385 	3322 	2064 	3780 	2521 	1261 	124 	80 	42 	3156 	806 	2350 	2.2 	2.4 	2.0 
	3月	Mar.		5510 	3399 	2111 	5386 	3319 	2068 	3782 	2508 	1273 	122 	79 	42 	3161 	813 	2348 	2.2 	2.3 	2.0 
	4月	Apr.		5509 	3405 	2104 	5389 	3328 	2060 	3805 	2535 	1270 	119 	77 	43 	3171 	811 	2360 	2.2 	2.2 	2.1 
	5月	May		5556 	3422 	2134 	5431 	3340 	2091 	3798 	2524 	1274 	125 	83 	43 	3134 	799 	2335 	2.3 	2.4 	2.0 
	6月	June		5563 	3409 	2153 	5434 	3326 	2108 	3787 	2499 	1287 	129 	85 	45 	3133 	815 	2318 	2.3 	2.5 	2.1 
	7月	July		5522 	3401 	2121 	5401 	3322 	2079 	3784 	2507 	1277 	121 	79 	43 	3186 	829 	2357 	2.2 	2.3 	2.0 
	8月	Aug.		5521 	3403 	2119 	5397 	3320 	2077 	3798 	2514 	1284 	125 	83 	42 	3194 	830 	2364 	2.3 	2.4 	2.0 
	9月	Sept.		5538 	3408 	2130 	5408 	3326 	2083 	3802 	2519 	1282 	131 	84 	46 	3180 	824 	2356 	2.4 	2.5 	2.2 
	10月	Oct.		5550 	3408 	2143 	5426 	3326 	2100 	3820 	2528 	1291 	124 	81 	43 	3179 	831 	2348 	2.2 	2.4 	2.0 
	11月	Nov.		5559 	3416 	2144 	5437 	3334 	2103 	3822 	2528 	1294 	122 	82 	40 	3179 	827 	2352 	2.2 	2.4 	1.9 
	12月	Dec.		5563 	3414 	2150 	5441 	3335 	2107 	3825 	2528 	1297 	122 	79 	43 	3180 	832 	2349 	2.2 	2.3 	2.0 
昭和54年	1月	Jan.		5586 	3416 	2171 	5464 	3340 	2125 	3831 	2527 	1304 	121 	76 	46 	3168 	834 	2334 	2.2 	2.2 	2.1 
1979	2月	Feb.		5567 	3415 	2153 	5455 	3345 	2112 	3843 	2539 	1304 	113 	71 	42 	3194 	840 	2354 	2.0 	2.1 	1.9 
	3月	Mar.		5560 	3417 	2144 	5442 	3340 	2102 	3832 	2537 	1294 	118 	75 	42 	3213 	846 	2367 	2.1 	2.2 	2.0 
	4月	Apr.		5572 	3426 	2146 	5453 	3351 	2102 	3818 	2534 	1284 	119 	75 	44 	3205 	838 	2368 	2.1 	2.2 	2.0 
	5月	May		5592 	3437 	2155 	5480 	3367 	2113 	3847 	2561 	1287 	112 	70 	42 	3189 	828 	2360 	2.0 	2.0 	2.0 
	6月	June		5595 	3448 	2147 	5481 	3375 	2106 	3885 	2586 	1300 	114 	73 	41 	3195 	822 	2373 	2.0 	2.1 	1.9 
	7月	July		5611 	3455 	2156 	5491 	3380 	2111 	3907 	2590 	1318 	121 	75 	46 	3187 	819 	2368 	2.2 	2.2 	2.1 
	8月	Aug.		5621 	3451 	2170 	5499 	3374 	2125 	3911 	2584 	1327 	121 	77 	44 	3182 	826 	2356 	2.2 	2.2 	2.1 
	9月	Sept.		5596 	3433 	2164 	5483 	3360 	2123 	3899 	2577 	1323 	113 	73 	41 	3214 	847 	2366 	2.0 	2.1 	1.9 
	10月	Oct.		5623 	3441 	2180 	5505 	3369 	2136 	3916 	2587 	1329 	117 	72 	44 	3196 	841 	2354 	2.1 	2.1 	2.0 
	11月	Nov.		5621 	3448 	2174 	5505 	3375 	2130 	3916 	2586 	1330 	116 	73 	44 	3212 	843 	2369 	2.1 	2.1 	2.0 
	12月	Dec.		5612 	3454 	2158 	5499 	3384 	2115 	3905 	2592 	1312 	113 	71 	42 	3233 	842 	2391 	2.0 	2.1 	1.9 
昭和55年	1月	Jan.		5605 	3447 	2158 	5497 	3379 	2118 	3918 	2600 	1319 	109 	68 	41 	3243 	851 	2393 	1.9 	2.0 	1.9 
1980	2月	Feb.		5610 	3443 	2167 	5507 	3377 	2130 	3922 	2590 	1332 	105 	67 	38 	3243 	857 	2386 	1.9 	2.0 	1.8 
	3月	Mar.		5620 	3451 	2170 	5514 	3385 	2129 	3915 	2591 	1324 	109 	67 	42 	3243 	855 	2389 	1.9 	1.9 	1.9 
	4月	Apr.		5634 	3456 	2180 	5524 	3389 	2134 	3912 	2593 	1319 	112 	66 	45 	3245 	859 	2386 	2.0 	1.9 	2.1 
	5月	May		5620 	3449 	2171 	5510 	3381 	2129 	3949 	2609 	1340 	110 	68 	42 	3268 	870 	2398 	2.0 	2.0 	1.9 
