downloaded from https://www.stat.go.jp/data/roudou/longtime/zuhyou/lt01-a10.xlsx 2011年3月から8月までの期間は，東日本大震災の影響により全国集計結果が存在しないため，補完推計値（2015年国勢調査基準）を用いた（< >内の数値）。
				労働力人口			就業者			雇用者			完全失業者			非労働力人口			完全失業率（％）		
year	month	Mon	star	Labour force			Employed person			Employee			Unemployed person			Not in labour force			Unemployment rate  (percent)		
				男女計	男	女	男女計	男	女	男女計	男	女	男女計	男	女	男女計	男	女	男女計	男	女
				Both sexes	Male	Female	Both sexes	Male	Female	Both sexes	Male	Female	Both sexes	Male	Female	Both sexes	Male	Female	Both sexes	Male	Female
	11月	Nov.	*	4261 	2482 	1778 	4159 	2419 	1739 	1861 	1302 	559 	103 	64 	38 	1696 	392 	1305 	2.4 	2.6 	2.2 
	12月	Dec.	*	4268 	2492 	1775 	4164 	2429 	1747 	1847 	1286 	561 	104 	64 	40 	1711 	390 	1321 	2.4 	2.6 	2.3 
昭和31年	1月	Jan.	*	4265 	2501 	1764 	4157 	2435 	1723 	1861 	1290 	572 	107 	66 	40 	1735 	392 	1345 	2.5 	2.7 	2.3 
1956	2月	Feb.	*	4237 	2490 	1747 	4127 	2425 	1701 	1865 	1294 	572 	108 	64 	44 	1765 	404 	1361 	2.6 	2.6 	2.5 
	3月	Mar.	*	4245 	2490 	1756 	4126 	2421 	1704 	1860 	1298 	562 	113 	66 	46 	1765 	410 	1356 	2.7 	2.7 	2.6 
	4月	Apr.	*	4268 	2507 	1761 	4164 	2443 	1720 	1887 	1333 	553 	103 	63 	40 	1748 	394 	1354 	2.4 	2.5 	2.3 
	5月	May	*	4268 	2499 	1769 	4171 	2442 	1727 	1904 	1341 	563 	98 	57 	41 	1754 	407 	1346 	2.3 	2.3 	2.3 
	6月	June	*	4293 	2503 	1789 	4201 	2450 	1749 	1935 	1344 	590 	92 	53 	40 	1736 	409 	1327 	2.2 	2.1 	2.2 
	7月	July	*	4271 	2498 	1773 	4181 	2444 	1736 	1938 	1351 	587 	90 	54 	36 	1775 	422 	1352 	2.1 	2.2 	2.1 
	8月	Aug.	*	4271 	2503 	1768 	4184 	2454 	1729 	1939 	1349 	591 	88 	50 	38 	1790 	422 	1368 	2.1 	2.0 	2.2 
	9月	Sept.	*	4264 	2501 	1763 	4171 	2446 	1725 	1926 	1340 	586 	92 	55 	38 	1807 	428 	1379 	2.2 	2.2 	2.2 
	10月	Oct.	*	4265 	2508 	1758 	4180 	2457 	1722 	1935 	1343 	592 	86 	50 	36 	1820 	430 	1390 	2.0 	2.0 	2.0 
	11月	Nov.	*	4281 	2518 	1763 	4186 	2462 	1723 	1952 	1364 	588 	95 	55 	40 	1813 	423 	1391 	2.2 	2.2 	2.3 
	12月	Dec.	*	4314 	2540 	1774 	4214 	2480 	1741 	1976 	1386 	591 	100 	60 	40 	1791 	408 	1384 	2.3 	2.4 	2.3 
昭和32年	1月	Jan.	*	4383 	2563 	1821 	4293 	2510 	1784 	2008 	1408 	599 	90 	53 	36 	1748 	392 	1357 	2.1 	2.1 	2.0 
1957	2月	Feb.	*	4384 	2564 	1821 	4297 	2515 	1783 	2027 	1419 	608 	87 	50 	37 	1757 	397 	1360 	2.0 	2.0 	2.1 
	3月	Mar.	*	4358 	2552 	1806 	4274 	2505 	1768 	2058 	1440 	617 	86 	49 	37 	1784 	411 	1373 	2.0 	1.9 	2.1 
	4月	Apr.	*	4346 	2554 	1792 	4257 	2506 	1750 	2021 	1410 	611 	88 	48 	41 	1800 	412 	1388 	2.0 	1.9 	2.3 
	5月	May	*	4290 	2541 	1751 	4210 	2495 	1715 	2034 	1421 	613 	80 	44 	36 	1866 	430 	1435 	1.9 	1.7 	2.1 
	6月	June	*	4316 	2555 	1762 	4239 	2513 	1727 	2017 	1416 	601 	77 	42 	35 	1850 	419 	1431 	1.8 	1.6 	2.0 
	7月	July	*	4356 	2566 	1790 	4278 	2524 	1754 	2039 	1423 	616 	78 	42 	36 	1816 	410 	1405 	1.8 	1.7 	2.0 
	8月	Aug.	*	4384 	2572 	1812 	4304 	2526 	1778 	2061 	1431 	630 	80 	46 	34 	1797 	411 	1385 	1.8 	1.8 	1.9 
	9月	Sept.	*	4372 	2579 	1795 	4289 	2531 	1758 	2079 	1450 	630 	86 	49 	37 	1820 	412 	1408 	2.0 	1.9 	2.1 
	10月	Oct.	*	4381 	2585 	1797 	4293 	2534 	1758 	2081 	1449 	632 	89 	50 	39 	1814 	406 	1409 	2.0 	1.9 	2.2 
	11月	Nov.	*	4408 	2580 	1827 	4324 	2531 	1793 	2091 	1446 	644 	82 	49 	33 	1802 	419 	1383 	1.9 	1.9 	1.8 
	12月	Dec.	*	4403 	2580 	1823 	4322 	2531 	1795 	2110 	1460 	651 	79 	48 	31 	1821 	425 	1397 	1.8 	1.9 	1.7 
昭和33年	1月	Jan.	*	4393 	2570 	1824 	4312 	2522 	1791 	2117 	1460 	658 	81 	48 	33 	1844 	439 	1405 	1.9 	1.9 	1.8 
1958	2月	Feb.	*	4379 	2569 	1813 	4298 	2516 	1782 	2108 	1451 	658 	83 	53 	31 	1862 	444 	1418 	1.9 	2.1 	1.7 
	3月	Mar.	*	4385 	2571 	1815 	4297 	2517 	1780 	2105 	1451 	654 	89 	54 	35 	1866 	447 	1418 	2.0 	2.1 	1.9 
