https://www.e-stat.go.jp/dbview?sid=0003005867
表番号 1-4-5	表題	配偶関係，年齢階級別労働力人口比率，就業率及び完全失業率（2000年1月～）
tab_code,表章項目,cat01_code,産業,cat02_code,性別,cat03_code,就業状態,cat04_code,年齢階級,cat05_code,配偶関係,area_code,地域,time_code,時間軸,unit,value,annotation
tab_code,表章項目,cat01_code,産業,cat02_code,性別,cat03_code,就業状態,cat04_code,AgeGroup,cat05_code,MStatus,area_code,area,time_code,time,unit,value,annotation
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2006000101,2006年1月,%,59.6,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2006000202,2006年2月,%,59.5,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2006000303,2006年3月,%,59.9,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2006000404,2006年4月,%,60.5,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2006000505,2006年5月,%,61.1,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2006000606,2006年6月,%,60.9,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2006000707,2006年7月,%,60.7,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2006000808,2006年8月,%,60.8,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2006000909,2006年9月,%,60.9,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2006001010,2006年10月,%,60.9,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2006001111,2006年11月,%,60.4,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2006001212,2006年12月,%,59.9,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2007000101,2007年1月,%,59.3,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2007000202,2007年2月,%,59.6,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2007000303,2007年3月,%,60.1,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2007000404,2007年4月,%,60.8,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2007000505,2007年5月,%,61.2,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2007000606,2007年6月,%,61.0,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2007000707,2007年7月,%,60.6,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2007000808,2007年8月,%,60.6,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2007000909,2007年9月,%,60.6,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2007001010,2007年10月,%,60.6,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2007001111,2007年11月,%,60.4,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2007001212,2007年12月,%,60.0,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2008000101,2008年1月,%,59.5,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2008000202,2008年2月,%,59.4,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2008000303,2008年3月,%,59.8,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2008000404,2008年4月,%,60.7,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2008000505,2008年5月,%,61.1,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2008000606,2008年6月,%,60.8,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2008000707,2008年7月,%,60.3,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2008000808,2008年8月,%,60.4,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2008000909,2008年9月,%,60.3,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2008001010,2008年10月,%,60.1,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2008001111,2008年11月,%,60.1,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2008001212,2008年12月,%,59.7,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2009000101,2009年1月,%,59.5,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2009000202,2009年2月,%,59.4,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2009000303,2009年3月,%,59.6,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2009000404,2009年4月,%,60.4,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2009000505,2009年5月,%,60.5,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2009000606,2009年6月,%,60.2,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2009000707,2009年7月,%,60.0,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2009000808,2009年8月,%,60.2,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2009000909,2009年9月,%,60.2,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2009001010,2009年10月,%,59.8,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2009001111,2009年11月,%,59.6,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2009001212,2009年12月,%,59.2,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2010000101,2010年1月,%,59.2,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2010000202,2010年2月,%,58.9,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2010000303,2010年3月,%,59.4,
02,率,000,全産業,0,総数,01,労働力人口,00,15以上,00,総数,00000,全国,2010000404,2010年4月,%,60.0,
