DATE,LABSHPJPA156NRUG
1950-01-01,0.6205279231071472
1951-01-01,0.6205279231071472
1952-01-01,0.6205279231071472
1953-01-01,0.6205279231071472
1954-01-01,0.6205279231071472
1955-01-01,0.6205279231071472
1956-01-01,0.6205279231071472
1957-01-01,0.6205279231071472
1958-01-01,0.6205279231071472
1959-01-01,0.6205279231071472
1960-01-01,0.6205279231071472
1961-01-01,0.6205279231071472
1962-01-01,0.6205279231071472
1963-01-01,0.6205279231071472
1964-01-01,0.6205279231071472
1965-01-01,0.6205279231071472
1966-01-01,0.6205279231071472
1967-01-01,0.6205279231071472
1968-01-01,0.6205279231071472
1969-01-01,0.6205279231071472
1970-01-01,0.6205279231071472
1971-01-01,0.6205279231071472
1972-01-01,0.6205279231071472
1973-01-01,0.6205279231071472
1974-01-01,0.6205279231071472
1975-01-01,0.6205279231071472
1976-01-01,0.6205279231071472
1977-01-01,0.6205279231071472
1978-01-01,0.6205279231071472
1979-01-01,0.6205279231071472
1980-01-01,0.6205279231071472
1981-01-01,0.6184104681015015
1982-01-01,0.6224491596221924
1983-01-01,0.6260395646095276
1984-01-01,0.6148210763931274
1985-01-01,0.6059867143630981
1986-01-01,0.5967991948127747
1987-01-01,0.5888170003890991
1988-01-01,0.5798812508583069
1989-01-01,0.577070951461792
1990-01-01,0.5735070705413818
1991-01-01,0.5830206274986267
1992-01-01,0.5911116600036621
1993-01-01,0.5958148837089539
1994-01-01,0.6039559245109558
1995-01-01,0.5987643599510193
1996-01-01,0.5891432166099548
1997-01-01,0.5955235958099365
1998-01-01,0.5966086387634277
1999-01-01,0.5918315052986145
2000-01-01,0.5819888114929199
2001-01-01,0.5821548104286194
2002-01-01,0.5696854591369629
2003-01-01,0.5628292560577393
2004-01-01,0.5542069673538208
2005-01-01,0.5540456771850586
2006-01-01,0.5538956522941589
2007-01-01,0.550385594367981
2008-01-01,0.5647484064102173
2009-01-01,0.5740921497344971
2010-01-01,0.5610999464988708
2011-01-01,0.5734527111053467
2012-01-01,0.5698697566986084
2013-01-01,0.5629879236221313
2014-01-01,0.5649161338806152
2015-01-01,0.5557188391685486
2016-01-01,0.5654537677764893
2017-01-01,0.5636439919471741
2018-01-01,0.5636439919471741
2019-01-01,0.5636439919471741
