Country	Albania	Algeria	Armenia, Rep. of	Australia	Austria	Azerbaijan, Rep. of	Belarus, Rep. of	Belgium	Bosnia and Herzegovina	Brazil	Bulgaria	Canada	Central African Rep.	Chile	China, P.R.: Hong Kong	China, P.R.: Mainland	Colombia	Congo, Rep. of	Costa Rica	Croatia, Rep. of	Cyprus	Czech Rep.	Denmark	Ecuador	El Salvador	Estonia, Rep. of	Ethiopia, The Federal Dem. Rep. of	Euro Area	Finland	France	Gabon	Georgia	Germany	Ghana	Greece	Guatemala	Hungary	Iceland	Iran, Islamic Rep. of	Ireland	Israel	Italy	Japan	Jordan	Kazakhstan, Rep. of	Korea, Rep. of	Kosovo, Rep. of	Kyrgyz Rep.	Latvia	Lithuania	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Montenegro	Morocco	Netherlands, The	New Zealand	Nicaragua	North Macedonia, Republic of	Norway	Oman	Paraguay	Philippines	Poland, Rep. of	Portugal	Romania	Russian Federation	Senegal	Serbia, Rep. of	Slovak Rep.	Slovenia, Rep. of	South Africa	Spain	Sudan	Sweden	Switzerland	Thailand	Trinidad and Tobago	Tunisia	Turkey	Ukraine	United Kingdom	United States	Uruguay	Uzbekistan, Rep. of	Vietnam	West Bank and Gaza	Zambia	Advanced Economies
Base Year	2010	2010	2010	2010	2010	2010	2010	2010		2010	2010	2010	2005	2010	2010		2010	1985	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	1985	2010	2010	2010	2010	1985	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	1975	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	1990	
2018M11					104.94	190.78	609.14	120.54	109.58	167.24	116.43	117.99		106.23		105.10	130.68		131.56	106.32	105.20	106.60	115.84	116.70	115.29	113.59			111.08	107.85		150.20	107.65		108.97		117.56	110.89		99.52	106.92	108.84	104.82			104.51			119.81	106.68	109.87	105.19	101.50		144.00	115.19	113.06	108.99		165.05	107.08	130.97		138.42	80.69	111.61	107.83	122.27	211.60	103.25	132.80	100.89	106.57	182.08	111.80		111.24	93.85	102.57		143.25	250.11	369.65	112.01	115.04	179.30	388.06				
2018M12					104.23	178.37	611.57	118.37	108.75	164.64	115.56	117.09		105.89		104.15	128.64		131.63	105.16	105.00	105.46	113.48	116.05	115.21	112.94			110.15	106.92		150.40	107.23		105.82		117.13	109.10		100.05	104.89	108.32	104.20			104.01			120.26	103.99	108.11	103.79	101.12		144.54	114.75	113.37	106.72		161.51	107.40	126.29		137.97	80.39	110.55	106.90	122.04	204.59	102.89	131.28	100.20	106.57	180.45	110.73		110.55	93.76	100.97		143.55	244.55	368.25	112.21	114.74	175.85	438.11				
2019	102.73			115.58	104.01	201.06	631.78	117.22		208.60	118.35			106.86	108.81				132.16	106.47	105.02	107.63	112.77			113.03			110.09	106.87			107.56		108.72		118.02			99.01	104.72	106.93				104.48	117.05		120.02	106.98	106.55		102.69			115.01	114.54	109.35	117.57		110.23	121.26	104.67	138.31	82.76	111.95	106.87	124.87		101.62	132.40	101.56	107.13	169.13	110.46		112.12	93.63	101.50			257.80	367.10	112.83	116.12		509.34				
2019Q1	103.11	121.93		114.94	104.30	195.29	620.73	117.86	108.57	201.71	116.72			105.27	108.59		130.49		132.62	106.01	103.31	106.88	113.48	116.83	115.51	113.16			110.18	107.40		151.20	107.54		107.98		116.27			99.88	104.44	108.25				104.09	116.77		120.26	105.61	106.79	104.69	101.92		143.87	116.92	114.15	108.47	116.69	164.13	108.98	126.21	107.33	138.23	84.83	111.43	106.90	123.63		101.01	131.83	101.12	107.09	176.53	110.84		112.02	93.47	101.27			247.11	373.16	111.68	115.10	183.15	479.82				
2019M01					104.33	184.42	616.97	117.34	108.86	198.94	115.12	116.69		104.03			129.40		132.24	105.48	103.48	106.50	114.12	117.23	115.33	113.59			110.15	107.34		150.60	107.54		106.87		116.48			100.16	103.66	108.32				103.90			120.03	104.09	106.52	104.39	101.50		143.77		112.96	107.75		162.43	107.82	126.72		137.97	85.01	110.97	106.90	122.83	197.78	100.99	131.28	100.49	106.89	178.98	110.84		111.43	93.47	100.77		145.55	245.66	371.85	112.01	114.65	180.81	476.72				
2019M02					104.33	197.52	620.69	117.86	109.06	202.49	117.08	117.09		104.81			130.61		132.89	105.80	103.68	106.81	113.91	116.50	115.54	112.94			110.35	107.44		150.70	107.54		108.66		116.16			98.99	104.11	108.22				104.00			120.49	105.18	106.34	104.99	101.22		143.80		113.27	108.37		164.66	109.19	127.27		138.31	84.52	111.50	106.90	123.96	193.85	100.86	131.79	101.09	107.20	179.47	110.95		111.63	93.38	101.07		146.55	245.89	375.54	111.91	115.04	183.32	481.38				
2019M03					104.23	203.94	624.54	118.37	108.13	205.22	117.95			106.98			131.48		132.72	106.75	102.77	107.33	112.40	116.76	115.66	112.94			110.35	107.44		152.30	107.54		109.92		116.16			100.48	105.57	108.22				104.36			120.26	105.98	107.52	104.69	103.03		144.06		113.57	109.30		165.31	109.92	124.65		138.42	84.95	111.61	106.90	124.98	194.05	101.18	132.42	101.78	107.20	181.75	110.73		113.00	93.57	101.97			249.78	371.95	111.11	115.63	185.33	481.37				
2019Q2	103.25	122.79		115.35	104.17	211.59	631.99	117.34	108.30	208.24	117.98			106.51	111.00		134.04		132.69	107.06	104.63	108.17	112.58	117.23	115.78	113.44			110.01	106.47		152.30	107.71		109.37		117.42			100.76	105.79	106.95				104.64	116.97		120.56	108.39	106.67		102.90		144.80	116.59	114.18	110.50	116.99		110.14	122.69	104.16	138.23	82.88	112.07	107.62	125.21		101.51	133.01	101.94	107.16	181.43	111.12		112.15	93.60	102.57			261.88	368.16	112.61	116.45	190.87	477.76				
2019M04					104.44	215.84	628.54	117.65	108.54	207.46	118.49			106.85			133.35		132.93	107.59	103.07	108.07	113.15	116.86	115.84	113.69			110.46	107.02		152.70	107.85		111.28		117.24			100.69	105.68	106.98				104.66			120.83	108.28	107.35		102.46		144.52		113.37	110.84		167.67	110.45	125.52		138.42	83.37	112.03	107.52	125.77	195.72	101.12	133.05	101.68	107.20	184.19	111.48		112.22	93.66	102.67			257.22	366.35	112.11	116.41	186.16	475.06				
2019M05					104.23	217.04	632.03	117.55	108.75	208.53	118.38			106.84			135.47		132.64	107.49	105.30	108.59	112.72	117.78	115.87	113.26			110.56	106.51		151.20	107.75		110.44		117.89			100.90	106.24	107.09				104.78			120.15	109.18	106.51		102.84		144.64	116.70	113.16	111.05			110.24	124.33		138.53	82.70	112.24	107.93	125.89	196.63	101.50	133.31	101.98	107.20	185.17	111.48		112.22	93.66	102.97			264.09	373.94	112.51	116.51	190.43	478.96				
2019M06					103.83	201.90	635.43	116.82	107.92	210.28	117.08			105.84			133.31		132.51	106.11	105.51	107.86	111.86	117.06	115.63	113.37			109.32	105.88		153.00	107.54		107.92		117.13			100.69	105.45	106.78				104.48			120.71	106.08	106.16		103.41		145.23	117.34	113.37	109.61			109.71	118.22		137.75	82.58	111.71	107.42	124.87	200.24	101.89	132.67	102.17	107.09	185.82	110.41		112.02	93.47	102.07			264.34	364.05	113.21	116.41	196.03	479.25				
2019Q3	102.38	123.66		115.87	103.83	196.42	637.07	115.90	107.99	208.50	119.07			105.64	108.39		134.80		131.73	106.32	106.18	107.86	112.18		115.59	113.30			109.83	106.40		160.43	107.51		108.19		118.50			100.27	104.78	106.37				104.66	117.57		120.26	106.28	106.36		102.99		145.25	118.64	113.16	109.06	118.21		111.22	116.59	106.36	137.23	82.25	112.24	106.93	125.29		102.36	132.29	101.61	107.16	182.28	110.09		112.02	93.44	101.51			260.80	373.56	113.94	116.51	201.07	518.90				
2019M07					104.03	200.49	636.20	116.10	108.34	209.80	118.60			105.92			134.09		131.82	106.54	106.11	107.75	112.40		115.54	113.48			109.94	106.30		157.80	107.65		109.39		117.56			99.84	105.45	106.57				104.48			120.49	106.38	105.89		102.93		145.54	116.80	113.47	109.40			110.14	116.81		136.85	81.97	111.82	107.42	125.77		101.78	132.42	101.48	107.09	185.50	110.95		112.41	93.47	101.97			261.72	377.14	113.61	116.61	199.13	482.65				
2019M08					103.73	190.33	637.18	115.48	108.23	207.92	119.03			105.14			134.35		131.53	106.11	106.22	107.86	112.08		115.73	113.26			109.63	106.30		161.00	107.33		107.61		118.21			100.27	104.67	106.16				104.73			120.37	105.08	107.13		102.55		144.74	116.37	112.25	108.58			111.29	116.48		136.85	82.76	112.13	106.90	125.43		102.75	132.17	101.78	107.20	185.99	109.56		111.83	93.47	101.27			260.17	374.54	114.40	116.71	200.05	528.31				
2019M09					103.73	198.45	637.86	116.10	107.72	209.36	119.58			105.86			135.97		131.85	106.32	106.22	107.96	112.08		115.51	113.16			110.25	106.61		162.50	107.54		109.08		119.72			100.69	104.22	106.37				104.79			119.92	105.78	106.08		103.50		145.48	117.45	111.13	109.19			112.24	116.48		137.97	82.03	112.56	106.48	125.55		102.56	132.29	101.58	107.20	186.31	109.77		111.83	93.38	101.27			260.51	368.85	113.81	116.22	204.01	545.74				
2019Q4	102.17			116.18	103.76	200.93	637.32	117.79	107.92	213.80	119.65			110.02	107.28				131.61	106.50	105.95	107.61	112.83			112.23			109.66	107.20			107.47		108.99		119.90			95.13	103.88	106.16				104.54	116.87		119.02	105.54	106.37		102.96			118.60	111.99	109.37	118.41		110.59	119.53	100.87	139.54	81.08	111.89	106.04	126.15		101.60	132.46	101.55	107.09	182.92	109.77		112.28	93.99	100.64			261.42	352.96	113.07	116.41		560.89				
2019M10					103.62	191.14	637.18	117.55	107.61	211.12	119.58			106.20			135.96		131.88	106.64	106.11	107.65	112.51		115.70	112.62			110.15	106.40			107.44		107.40		119.61			92.09	104.33	106.37				104.54			119.24	104.98	107.11		103.22		145.10	117.13	111.02	109.09			111.82	116.59		139.43	81.30	111.92	106.59	126.11		101.74	132.42	102.08	106.89	186.80	110.20		112.22	94.15	100.87			260.95	364.35	113.41	116.71	209.35	556.87				
2019M11					103.83	200.67	636.45	117.65	108.34	213.46	119.69			111.51					131.64	106.54	105.81	107.54	112.83			112.51			109.94	107.54			107.44		110.23		120.15			96.55	103.66	106.06				104.39			119.13	104.49	105.77		102.93			116.80	111.13	109.19			110.98	118.55		139.76	81.05	111.71	106.07	126.45		101.38	132.42	101.28	107.09	186.31	109.77		112.61	93.85	100.37			260.76	353.45	113.01	116.22		564.34				
2019M12					103.83	210.97	638.37	118.16	108.13	218.45	119.69			112.37					131.30	106.32	105.91	107.65	113.15			111.55			109.21	107.65			107.54		110.86		119.94			96.76	103.66	106.06				104.68			118.68	105.58	106.22		102.74			116.59	111.23	109.81			108.98	123.45		139.43	80.87	111.82	105.45	126.79		101.68	132.55	101.28	107.30	186.64	109.34		112.02	93.97	100.67			262.56	340.95	112.81	116.32		561.46				
2020																																																	117.66																																										
2020Q1	100.95			116.38	103.46	169.45	648.38	115.86	107.54	219.27	118.35			110.27	109.99				131.50	105.94	105.61	108.34	110.35			109.90			106.32	106.61			107.58		105.47		120.98			96.83	103.06	105.13				104.53	116.57		118.34	102.46	104.96		103.12			119.00		108.23	118.11		111.12	116.19	100.85	140.40	80.53	111.71	105.59	126.94		100.48	132.42	102.83	107.02	183.83	108.52		110.03	93.62	100.91			269.01	350.99	113.04	116.41						
2020M01					104.03	202.88	642.88	117.65	108.03	218.17	120.01			111.62					131.35	106.96	105.91	109.01	113.05			110.80			108.28	107.54			107.96		110.23		121.01			95.91	103.99	105.85				105.07			118.56	105.28	104.57		103.41				111.33	110.12			111.40	121.82		140.10	80.57	111.92	106.69	128.60		100.43	132.93	102.27	107.20	187.13	110.20		110.94	94.05	101.58			267.38	348.75	112.91	116.91						
2020M02					103.62	185.13	647.47	116.51	107.92	218.10	118.82			110.32					131.59	106.85	106.01	108.27	110.03			109.94			107.14	106.92			107.75		107.82		120.69			98.35	102.42	105.34				104.73			118.23	104.09	105.47		102.93				111.23	109.40			111.72	117.79		140.44	80.57	111.71	105.45	127.35		100.36	132.67	103.26	107.30	187.62	109.13		110.26	93.45	101.17			268.66	348.95	112.81	116.32						
2020M03					102.71	120.35	654.83	113.42	106.99	223.19	116.21			108.89					131.57	104.00	104.90	107.75	107.98			108.97			103.83	105.36			107.02		99.84		121.23			96.23	102.76	104.20				103.80			118.23	96.49	104.85		103.03					105.18			110.24	108.96		140.66	80.45	111.29	104.62	125.77		100.63	131.66	102.96	106.57	187.78	106.25		108.89	93.37	99.98			271.00	355.15	113.41	116.02						
2020Q2	98.96			114.94	101.70	113.56	662.53	109.13	106.54	227.18	112.99			108.90	112.41					101.18	102.84	107.47	107.81			109.44				103.22			106.23		97.21		120.76			93.43	97.17	101.63				103.09			117.59	92.76	108.68		103.15					102.61	116.89		110.03	103.04	86.04	139.28	79.61	110.73	101.21	123.45			129.68	100.63	106.57	182.71	103.90		108.17	92.68	98.41				351.79	111.71	115.17						
2020M04					101.90	79.61	663.04	110.74	106.89	223.43	113.39			108.74					131.64	101.36	104.59	107.23	107.02			108.76				103.08			106.50		95.71		121.66			94.42	97.92	101.53				102.90			118.23	91.50	107.18		103.12					101.99			110.14	105.37		139.99	79.96	110.66	101.62	123.63			130.14	101.28	106.78	186.48	103.58		108.89	92.85	98.28				355.55	111.71	114.65						
2020M05					101.50	112.01	661.98	107.13	106.78	227.39	112.19			107.80					131.35	100.51	101.86	107.65	106.37			108.87				102.98			106.09		97.39		119.94			93.57	96.24	101.42				102.93			117.32	91.50	108.97		103.22			117.13		102.30			110.03	102.53		138.42	79.72	110.45	100.69	123.29			129.13	100.40	106.47	185.82	103.26		107.91	92.52	98.08				353.45	111.41	115.24						
2020M06					101.70	149.05	662.61	109.50	106.27	232.44	113.39			110.17						101.67	102.06	107.54	110.03			110.69				103.60			106.09		99.89		120.69			92.30	97.36	101.94				103.45			117.21	93.90	109.87		103.12					103.53			109.92	101.23		139.43	79.17	110.87	101.31	124.30			129.76	100.20	106.47	186.80	104.86		107.71	92.67	98.88				346.25	112.01	115.63						
2020Q3				115.45	101.83	160.57	672.57	113.42		251.48										101.81	100.00	107.51	110.53							104.12			106.36		99.80		123.24			96.23	98.93	102.97								96.07	104.01		103.18					103.88			110.24	102.97		142.79	78.92	111.01	101.52				130.44	100.40	106.82	186.44	106.46		106.93	92.52					355.02	112.24	116.51						
2020M07					101.80	158.74	665.76	111.26	106.47	239.73	116.10			114.91						102.31	100.44	107.65	110.03			109.62				104.01			106.29		100.67		121.55			91.45	98.71	102.87				103.69			116.98	95.99	106.65		104.07					104.15			109.71	101.23		141.44	79.05	111.19	101.52	124.87			130.65	100.30	106.78	189.08	106.35		106.93	92.64					347.65	112.51	116.32						
2020M08					101.80	167.00	671.76	111.67		252.77	115.34									101.78	100.34	107.33	111.00			110.80				104.01			106.29		100.47		122.42				98.93	102.97				104.20			116.98	95.89	103.29		103.03					104.05				102.42		142.68	78.86	110.76	101.52	124.53			130.52	100.59	106.89	190.39	106.25		106.73	92.40					355.65	111.81	116.51						
2020M09					101.90	155.98	680.22			263.84										101.36	99.22	107.54	110.57							104.33			106.50		99.66		125.76				99.16	103.07								94.90	102.09		102.46					103.43				105.26		144.24	78.86	110.87	101.52				130.14	100.30	106.78	191.04	106.78		107.12	92.53					361.65	112.41	116.71						
2020Q4																																																																																											
2020M10						153.41				276.66										102.31		107.96	109.28							104.33			106.50								98.60	103.69								95.20												109.62		145.48			101.62				130.52			191.86										112.61	117.30						
2020M11						154.64				285.83																																																																											117.10						
