Country	Albania	Algeria	Armenia, Rep. of	Australia	Austria	Azerbaijan, Rep. of	Belarus, Rep. of	Belgium	Bosnia and Herzegovina	Brazil	Bulgaria	Canada	Central African Rep.	Chile	China, P.R.: Hong Kong	China, P.R.: Mainland	Colombia	Congo, Rep. of	Costa Rica	Croatia, Rep. of	Cyprus	Czech Rep.	Denmark	Ecuador	El Salvador	Estonia, Rep. of	Ethiopia, The Federal Dem. Rep. of	Euro Area	Finland	France	Gabon	Georgia	Germany	Ghana	Greece	Guatemala	Hungary	Iceland	Iran, Islamic Rep. of	Ireland	Israel	Italy	Japan	Jordan	Kazakhstan, Rep. of	Korea, Rep. of	Kosovo, Rep. of	Kyrgyz Rep.	Latvia	Lithuania	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Montenegro	Morocco	Netherlands, The	New Zealand	Nicaragua	North Macedonia, Republic of	Norway	Oman	Paraguay	Philippines	Poland, Rep. of	Portugal	Romania	Russian Federation	Senegal	Serbia, Rep. of	Slovak Rep.	Slovenia, Rep. of	South Africa	Spain	Sudan	Sweden	Switzerland	Thailand	Trinidad and Tobago	Tunisia	Turkey	Ukraine	United Kingdom	United States	Uruguay	Uzbekistan, Rep. of	Vietnam	West Bank and Gaza	Zambia	Advanced Economies
Base Year	2010	2010	2010	2010	2010	2010	2010	2010		2010	2010	2010	2005	2010	2010		2010	1985	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	1985	2010	2010	2010	2010	1985	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	1975	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	2010	1990	
2017M09					101.50	159.10	563.20	109.92	104.40	144.85	111.32	111.99		100.87		101.27	122.21		125.66	103.36	100.34	102.74	108.74	115.79	112.82	111.01		104.67	104.76	103.49		138.52	104.63	277.31	104.14		109.69	98.48	343.77	105.26	102.53	103.28	101.74	98.46	155.20	103.00			113.93	100.19	103.41	108.09	97.80	123.88	132.42	110.98	109.29	105.08			106.87	107.76		133.83	80.57	108.23	103.79	115.26	177.35	98.27	129.00	96.84	104.40	168.55	107.96		101.34	92.06	101.97		130.06	173.98	304.56	108.52	111.50	160.77	284.65				
2017Q4	102.82	115.61		112.25	102.17	170.09	571.39	112.80	106.23	148.67	112.34	114.29		104.24	105.78		124.69		126.11	104.63	99.12	102.78	109.74	116.47	113.03	111.48		105.40	105.66	104.95		143.68	104.94	279.03	104.95		111.45	99.25	351.89	104.37	103.17	103.93	102.42	100.58	163.21	103.06	115.47		113.86	102.36	104.69	107.86	97.73	124.71	134.90	112.58	110.28	105.83	112.12		107.85	113.87	88.80	134.50	80.55	108.51	104.59	116.16		98.53	130.39	97.23	104.92	167.21	109.13		103.14	92.63	101.64	116.98	131.59	180.16	317.02	109.65	111.99	162.31	307.12				
2017M10					101.80	162.11	567.37	111.77	105.23	147.45	111.87	113.19		103.37		101.94	123.19		125.97	103.68	100.03	102.74	109.17	115.84	112.83	111.55		104.77	105.18	103.91		140.09	104.74	277.99	104.46		110.77	98.89	348.36	97.93	103.21	103.59	102.04	99.53	159.22	103.11			113.70	100.49	104.42	107.49	97.80	124.12	133.67	110.98	109.39	105.28			107.40	110.38		134.05	80.99	108.55	104.21	115.83	179.38	98.25	129.76	97.04	104.71	169.69	108.70		101.63	92.34	101.77		131.16	176.96	311.45	109.02	112.09	164.29	297.86				
2017M11					102.41	171.83	572.01	113.32	106.78	149.53	112.63	114.89		104.47		102.42	125.14		126.13	105.16	98.72	102.64	110.25	116.19	113.06	111.76		105.50	106.01	105.36		146.08	105.05	278.24	105.93		111.85	99.25	350.58	103.98	102.87	104.10	102.56	100.14	162.34	103.01			113.82	102.39	104.65	108.29	97.80	124.94	135.20	110.98	109.49	106.11			107.92	113.97		134.61	80.39	108.55	104.83	116.62	180.91	98.38	130.77	97.43	104.92	170.50	109.24		103.10	92.72	101.67		131.56	180.52	317.05	109.92	112.09	162.71	309.61				
2017M12					102.31	176.33	574.82	113.32	106.99	150.15	112.52	114.79		104.89		102.61	125.74		126.23	105.06	98.61	102.95	109.82	117.36	113.21	111.12		105.92	106.11	105.57		144.87	105.05	280.87	105.93		111.74	99.61	355.73	111.21	103.43	104.10	102.66	101.47	168.06	103.06			114.04	102.69	105.01	107.79	97.61	125.06	135.82	110.76	109.39	106.11			108.24	117.24		134.84	80.26	108.23	104.73	116.85	183.14	98.95	130.65	97.23	105.13	171.48	109.45		104.67	92.82	101.47		132.06	182.99	322.45	110.02	111.80	159.93	313.89				
2018	103.56	119.80		113.59	103.90	194.77	594.41	116.04		161.49	114.82	117.92		104.87	107.73		128.30		128.81	105.73	102.50	104.94	113.50	117.05	114.48	113.25	210.95		109.75	106.36		146.11	106.55		108.35		115.56	103.17		104.89	105.90	106.74	103.94			104.46	115.97		117.96	107.06	108.58	106.66	100.50		140.53	111.83	113.97	108.34	115.01	164.65	107.97	125.75	108.30	136.37	81.43	110.37	106.86	120.13	197.22	101.38	131.63	99.65	106.40	161.65	110.79		108.89	93.69	102.48		138.94	219.29	352.51	111.91	114.19	174.33	355.58		115.33		
2018Q1	103.35	118.66		112.76	102.71	183.98	579.33	113.22	107.12	151.42	112.99	115.99		103.47	107.79		125.78		127.08	104.70	98.99	103.30	110.46	117.91	113.70	112.66		106.23	107.25	105.54		145.83	105.43		105.36		112.71	99.74		109.08	104.14	104.93	102.93	103.64		103.77	114.37		115.40	103.20	106.20	107.09	98.53		137.58	112.22	111.34	106.48	112.83	164.24	109.19	119.02	99.86	135.40	81.48	108.48	105.42	118.22		99.86	130.10	98.39	105.88	168.17	109.09		105.65	93.35	101.71		134.22	189.07	339.66	109.78	112.91	164.39	323.41				
2018M01					102.71	184.64	576.90	113.73	107.41	150.88	113.49	115.49		104.22		103.48	125.97		126.65	105.27	99.02	103.47	110.57	118.30	113.42	113.16		106.23	106.83	105.36		147.10	105.46		106.87		112.06	99.61	359.76	110.04	103.54	104.72	102.97	102.11		103.49			114.95	103.89	105.17	108.29	97.42		136.97		109.49	106.72		164.66	108.66	120.84		135.28	81.66	108.34	105.55	118.31	183.55	99.60	130.27	97.92	105.64	171.97	109.45		105.55	93.00	101.87		133.66	184.80	336.75	110.02	112.48	163.37	319.62				
2018M02					102.71	182.83	579.62	113.11	107.72	151.45	112.73	115.69		103.40		103.38	125.80		127.15	104.42	98.72	103.05	110.57	117.59	113.72	112.30		106.23	107.14	105.57		145.90	105.36		105.40		113.03	100.68		109.40	104.44	104.93	102.97	104.31		103.93			115.51	102.09	106.99	106.69	97.70		137.58		110.92	106.21		163.87	110.35	117.79		135.73	81.78	108.13	105.76	118.54	185.28	99.91	129.76	98.52	105.95	171.48	109.34		105.06	93.57	101.67		133.76	189.75	340.65	109.62	112.88	165.35	322.82				
2018M03					102.71	184.47	581.49	112.80	106.58	153.07	112.73	116.79		102.80		103.19	125.57		127.45	104.42	99.22	103.37	110.25	117.83	113.95	112.51		106.23	108.08	105.67		144.50	105.46		105.30		113.03	98.94		107.81	104.44	105.13	102.87	103.88		103.89			115.74	102.09	106.45	106.29	100.46		138.19		111.02	106.52		164.20	108.55	118.44		135.17	80.99	108.76	104.93	118.65	183.65	100.07	130.27	98.72	106.06	171.15	108.49		106.34	93.47	101.57		135.25	192.67	341.45	109.72	113.37	164.46	327.80				
